4,2,1,2,10,13,12,13,16,21,21,7,0,0,0,0,0,0,0,1,4,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,2,1,0,0,0,8,21,17,7,15,25,26,22,8,17,20,8,2,4,96,95,5,7,8,6,2,2,7,7,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,6,59,60,8,2,1,0,0,1,1,0,0,12,33,45,34,13,3,23,22,1,2,3,2,1,0,1,1,2,3,1,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,10,16
0,0,0,2,3,22,22,12,12,8,5,0,0,3,3,0,0,0,0,0,0,1,1,0,10,13,3,0,0,4,10,12,8,2,0,0,3,7,4,0,0,1,1,0,9,17,12,10,18,15,26,17,0,0,4,4,2,3,2,0,1,4,3,0,0,0,0,0,0,0,1,2,1,0,0,1,4,4,6,6,6,1,3,4,2,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,5,12,60,57,5,1,0,0,0,0,0,0,0,8,21,21,15,13,14,18,16,2,5,5,6,8,8,13,12,30,39,34,11,5,8,3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,2,3,3,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,3,18,23
0,0,0,0,5,13,11,5,4,3,1,1,2,5,4,3,0,0,0,3,3,1,1,1,11,13,3,0,0,4,8,12,8,3,7,6,2,2,0,0,0,1,1,0,0,0,0,0,2,3,1,0,0,0,9,12,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,6,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4,3,13,20,14,9,7,17,24,21,17,13,7,2,0,0,0,0,0,3,3,0,0,0,0,0,1,1,1,0,1,4,8,8,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,2,3,1,1
1,1,0,0,12,16,19,21,18,7,4,4,1,1,0,1,1,0,0,6,6,0,2,4,2,0,0,1,1,1,0,2,2,1,8,7,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,1,1,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,1,1,0,0,1,1,2,2,0,0,0,0,1,1,3,2,4,2,0,0,0,0,0,0,8,9,1,0,0,4,9,9,5,0,2,8,9,8,7,1,0,0,0,1,3,4,2,0,0,4,4,4,2,2,4,18,41,47,24,6,2,3,3,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,15,22,8,1,1,0,1,2,1,0
1,1,1,12,38,38,17,22,24,11,8,3,3,0,0,1,1,1,1,1,1,0,2,4,2,2,0,1,1,3,25,23,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,2,4,7,11,9,6,0,0,1,1,0,0,0,0,0,0,0,14,14,9,1,1,3,3,4,1,2,8,9,15,16,3,0,0,1,5,6,2,0,1,2,2,1,2,3,6,29,66,76,45,14,8,4,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,16,23,8,1,1,0,0,1,1,1
12,7,2,15,31,17,5,14,21,21,14,7,5,8,8,0,0,1,1,0,0,0,0,0,0,0,0,1,3,4,15,14,5,4,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,2,3,3,9,9,10,2,2,0,1,1,0,0,0,1,14,33,33,21,12,5,5,4,2,2,2,3,3,1,1,1,0,0,5,10,5,3,8,5,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,0,1,1,1,0,0,0
13,9,2,2,2,1,1,1,1,7,6,3,20,30,13,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,2,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,5,9,17,24,15,10,4,5,6,5,1,1,2,1,0,1,1,0,0,0,0,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,4,3,6,3,7,6,3,1
2,3,2,2,0,0,2,2,0,1,1,5,5,1,1,0,0,0,0,0,8,10,3,3,2,0,0,0,0,0,0,0,0,0,1,1,1,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,10,3,1,8,8,4,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,3,4,6,9,38,43,15,2,0,0,0,0,0,0,0,0,0,0,0,5,6,6,1,0,0,0,0,0,0,0,12,14,2,0,0,2,2,2,2,4,14,14,10,0,4,6,3,1
1,2,8,9,2,1,2,1,1,2,1,4,4,2,2,2,1,0,0,0,8,10,2,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,3,4,1,7,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,4,4,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,8,5,5,4,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6,33,37,9,1,0,0,0,0,0,1,1,0,1,1,2,5,6,4,2,1,0,0,0,0,0,0,10,10,0,0,0,1,1,0,0,3,13,13,10,0,0,0,0,0
0,1,14,17,12,10,2,0,1,49,49,4,3,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2,2,0,0,0,7,9,2,0,0,0,0,0,0,0,0,6,6,0,1,1,0,0,0,0,0,0,7,10,6,2,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,2,10,9,0,1,4,4,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,0,0,0,0,0,0,0,1,6,5,0,0,0,0,0,0,0,0,1,8,7,2,5,3,0,0,0,0,0,0,1,1,0,1,1,1,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,3,3,3,1,0,0,0,0,0,1,1,0
0,0,1,1,8,9,1,1,1,7,7,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,6,10,5,1,0,0,1,2,2,1,0,1,1,1,1,2,2,0,0,0,1,2,21,20,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,2,4,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,7,10,4,1,0,2,2,0,0,0,3,11,11,8,1,4,8,20,24,15,6,17,27,14,6,2,0,0,0,0,0,2,2,2,2,2,3,1,0,0,1,4,3,0,0,0
0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,0,0,3,3,4,3,3,1,0,1,1,0,0,0,3,5,13,11,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,1,2,3,4,2,0,1,1,1,0,0,0,0,3,3,2,6,34,33,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,11,11,4,2,2,0,0,14,33,41,77,79,35,13,2,0,1,1,1,1,4,4,3,0,1,1,1,1,0,1,4,3,0,0,0
0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,7,1,1,1,1,5,5,0,0,1,1,0,2,2,1,2,6,4,0,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,3,3,0,0,0,1,1,0,0,0,0,2,2,2,0,0,0,1,1,0,0,0,1,4,6,18,53,39,36,1,1,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,6,34,48,36,20,2,0,0,0,1,1,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,4,0,1,1,0,0,4,5,2,13,22,20,22,98,97,92,6,9,5,2,2,1,0,8,10,4,2,0,0,1,1,0,0,2
0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7,7,1,1,1,1,4,4,0,7,17,24,16,2,0,0,3,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,2,2,1,20,57,57,40,1,2,2,1,0,0,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,12,13,1,0,10,108,115,109,13,20,22,13,12,39,32,7,9,4,2,0,1,6,6,2,1,10
0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,3,3,3,0,0,0,0,0,1,1,0,0,0,0,4,4,1,8,22,23,17,4,1,0,0,10,10,0,0,0,15,15,0,0,0,0,0,1,2,1,0,1,1,3,3,0,0,0,1,2,1,0,0,0,0,0,0,1,2,2,1,0,0,1,1,0,0,0,0,0,1,1,3,2,0,0,1,1,0,0,2,4,2,0,0,0,0,0,0,0,1,3,2,0,0,10,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,3,2,12,13,1,0,0,18,19,25,11,19,24,16,19,45,39,12,5,0,2,4,3,4,3,0,0,8
0,0,0,0,0,0,3,4,2,1,0,4,6,6,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,13,7,3,3,0,0,0,15,15,0,0,0,0,0,0,1,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,2,4,2,0,1,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,1,2,2,0,1,3,6,8,12,9,5,4,1,9,12,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,1,2,1,0,0,0,0,0,0,0,2,2,5,7,4,4,10,10,8,6,9,19,24,17,6,7,22,24,8,4,0,0,0,0
0,0,0,0,0,0,0,0,1,5,4,13,13,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,2,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,3,1,0,0,2,2,0,0,0,0,0,1,1,3,6,6,6,7,3,0,0,0,0,0,0,0,0,6,7,7,2,1,2,4,3,4,5,4,3,1,1,2,1,5,7,3,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,1,0,2,2,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,4,3,16,32,18,9,21,23,22,22,11,3,3,12,19,14,9,3,2,1,3
0,0,2,2,0,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,5,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,4,7,6,5,6,4,0,0,0,0,0,0,1,2,2,5,7,15,9,1,0,0,0,0,4,9,6,1,1,2,2,4,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,2,0,2,2,1,1,0,0,0,0,1,4,3,3,0,1,1,0,0,0,4,4,1,1,6,9,9,17,23,24,22,22,12,4,2,7,11,10,3,4,4,5,5
0,1,3,2,0,0,0,0,0,0,1,2,1,1,1,0,0,0,2,9,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,4,5,1,0,0,0,10,10,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,4,1,2,2,0,0,0,1,1,3,4,3,2,1,0,2,2,0,0,0,1,1,2,3,3,3,1,0,0,1,2,10,9,0,0,0,0,0,2,2,1,1,1,1,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,1,5,6,3,4,3,1,2,2,5,5,5,1,3,4,2,1,0,3,3,1,4,23,22,7,11,10,8,4,5,8,10,5,5,12,9,0,1,4,6,3
0,1,2,1,2,1,1,0,0,0,1,2,1,1,1,0,0,0,2,9,8,8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,5,10,17,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,2,2,2,3,3,2,1,1,0,0,1,2,1,2,3,2,2,1,0,3,9,9,6,9,20,22,11,0,7,21,15,1,0,0,1,1,1,1,0,0,2,4,8,6,7,3,0,0,0,0,0,2,3,1,0,0,2,3,2,1,0,1,1,1,0,0,0,0,2,3,1,1,1,2,10,11,8,35,33,4,2,2,2,0,2,6,9,11,14,16,10,3,1,10,11,5
